Party Size,Meal Period,Day,Season,Sample Size,Avg Spend ($),Avg Spend/Person ($),Avg Time (min),Avg Starters,Avg Mains,Avg Sides,Avg Desserts,Avg Alcohol,Avg Non-Alc
Couple,Afternoon,Friday,Spring,57,155.63,77.82,52,1.3,1.4,0.4,0.4,1.6,0.5
Couple,Afternoon,Friday,Winter,52,212.13,106.07,66,2.3,2.1,0.3,0.2,2.2,0.5
Couple,Brunch,Friday,Spring,201,174.59,87.30,64,2.2,2.3,0.4,0.2,1.3,0.9
Couple,Brunch,Friday,Winter,268,191.84,95.92,65,2.1,2.4,0.3,0.2,1.5,0.8
Couple,Brunch,Friday,Fall,205,174.36,87.18,64,2.1,2.2,0.3,0.1,1.3,0.9
Couple,Brunch,Friday,Summer,147,155.42,77.71,58,1.9,2.1,0.3,0.1,1.2,0.9
Couple,Brunch,Saturday,Winter,206,201.17,100.59,68,2.2,2.5,0.3,0.4,1.4,0.8
Couple,Brunch,Saturday,Spring,173,175.88,87.94,60,2.2,2.3,0.4,0.3,1.2,0.7
Couple,Brunch,Saturday,Summer,172,150.18,75.09,58,2.0,2.1,0.3,0.2,1.1,0.7
Couple,Brunch,Saturday,Fall,165,164.53,82.26,59,2.1,2.2,0.3,0.2,1.2,0.7
Couple,Dinner,Sunday,Summer,456,241.09,120.54,81,2.3,2.7,0.6,0.4,1.8,0.6
Couple,Dinner,Sunday,Winter,562,238.81,119.40,81,2.2,2.7,0.6,0.4,1.7,0.6
Couple,Dinner,Sunday,Spring,447,241.30,120.65,81,2.3,2.7,0.5,0.4,1.7,0.6
Couple,Dinner,Sunday,Fall,562,244.74,122.37,81,2.2,2.8,0.7,0.4,1.8,0.6
Couple,Dinner,Monday,Summer,457,249.14,124.57,81,2.3,2.7,0.6,0.3,1.8,0.5
Couple,Dinner,Monday,Fall,576,253.21,126.60,82,2.3,2.8,0.6,0.3,2.0,0.6
Couple,Dinner,Monday,Winter,606,248.06,124.03,84,2.3,2.8,0.6,0.4,1.7,0.6
Couple,Dinner,Monday,Spring,578,250.40,125.20,80,2.2,2.8,0.6,0.4,1.8,0.5
Couple,Dinner,Tuesday,Fall,611,248.09,124.04,79,2.2,2.8,0.6,0.4,1.9,0.5
Couple,Dinner,Tuesday,Summer,528,238.12,119.06,79,2.2,2.7,0.6,0.3,1.8,0.6
Couple,Dinner,Tuesday,Spring,708,252.33,126.17,82,2.3,2.7,0.6,0.4,1.8,0.6
Couple,Dinner,Tuesday,Winter,712,254.70,127.35,85,2.3,2.8,0.6,0.4,1.8,0.5
Couple,Dinner,Wednesday,Summer,599,242.79,121.40,79,2.2,2.7,0.6,0.4,1.8,0.5
Couple,Dinner,Wednesday,Fall,669,240.13,120.06,82,2.2,2.7,0.6,0.3,1.9,0.6
Couple,Dinner,Wednesday,Spring,667,258.28,129.14,83,2.3,2.8,0.5,0.4,1.8,0.5
Couple,Dinner,Wednesday,Winter,764,243.48,121.74,82,2.2,2.7,0.6,0.4,1.8,0.5
Couple,Dinner,Thursday,Summer,711,229.59,114.79,79,2.3,2.8,0.5,0.4,1.7,0.5
Couple,Dinner,Thursday,Fall,920,233.52,116.76,77,2.1,2.7,0.6,0.4,1.8,0.5
Couple,Dinner,Thursday,Winter,1276,233.42,116.71,82,2.2,2.7,0.5,0.4,1.9,0.5
Couple,Dinner,Thursday,Spring,885,244.50,122.25,81,2.3,2.7,0.5,0.4,2.0,0.5
Couple,Dinner,Friday,Spring,1041,233.57,116.79,78,2.2,2.7,0.6,0.4,1.8,0.5
Couple,Dinner,Friday,Winter,1152,233.69,116.84,79,2.1,2.7,0.5,0.4,1.9,0.6
Couple,Dinner,Friday,Fall,981,239.89,119.94,79,2.3,2.8,0.6,0.3,1.9,0.6
Couple,Dinner,Friday,Summer,810,224.10,112.05,78,2.2,2.8,0.6,0.4,1.7,0.6
Couple,Dinner,Saturday,Spring,573,234.71,117.36,82,2.2,2.7,0.6,0.4,1.6,0.6
Couple,Dinner,Saturday,Summer,627,221.38,110.69,76,2.2,2.8,0.6,0.4,1.5,0.7
Couple,Dinner,Saturday,Winter,768,236.50,118.25,83,2.2,2.8,0.6,0.5,1.6,0.6
Couple,Dinner,Saturday,Fall,601,227.80,113.90,77,2.2,2.7,0.5,0.4,1.7,0.7
Couple,Late Night,Thursday,Winter,139,203.93,101.96,69,2.0,2.7,0.4,0.2,1.5,0.4
Couple,Late Night,Thursday,Spring,88,210.17,105.08,59,2.0,2.6,0.5,0.3,1.5,0.6
Couple,Late Night,Thursday,Summer,74,201.59,100.79,58,1.9,2.4,0.4,0.2,1.5,0.6
Couple,Late Night,Thursday,Fall,99,206.28,103.14,63,2.0,2.7,0.5,0.2,1.5,0.6
Couple,Late Night,Friday,Spring,91,210.67,105.34,62,2.0,2.6,0.4,0.3,1.5,0.4
Couple,Late Night,Friday,Winter,89,212.98,106.49,67,2.3,2.6,0.4,0.3,1.4,0.6
Couple,Late Night,Friday,Fall,64,222.44,111.22,61,2.1,2.8,0.5,0.3,1.4,0.6
Couple,Late Night,Friday,Summer,60,199.43,99.71,60,2.1,2.7,0.5,0.2,1.2,0.6
Couple,Lunch,Sunday,Winter,188,164.58,82.29,61,2.3,2.0,0.3,0.1,0.8,1.0
Couple,Lunch,Sunday,Fall,162,157.71,78.85,60,2.2,2.0,0.3,0.1,0.9,1.1
Couple,Lunch,Sunday,Summer,117,150.00,75.00,59,2.4,1.9,0.3,0.2,0.7,0.9
Couple,Lunch,Sunday,Spring,125,149.76,74.88,58,2.2,1.9,0.3,0.1,0.6,1.0
Couple,Lunch,Monday,Winter,223,168.52,84.26,63,2.3,2.0,0.3,0.1,0.8,1.1
Couple,Lunch,Monday,Summer,171,161.22,80.61,57,2.3,2.1,0.3,0.1,0.8,1.0
Couple,Lunch,Monday,Spring,183,158.76,79.38,60,2.3,2.0,0.3,0.1,0.6,1.3
Couple,Lunch,Monday,Fall,176,156.79,78.39,58,2.4,2.1,0.3,0.1,0.7,1.1
Couple,Lunch,Tuesday,Spring,222,151.16,75.58,60,2.4,1.9,0.4,0.1,0.6,1.0
